11:21:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:21:38     all    0.34    0.00    8.47    0.04    0.00    0.17    0.00   18.28    0.00   72.64
11:21:38       0    0.00    0.00   31.96    0.00    0.00    0.00    0.00    0.00    0.00   68.04
11:21:38       1    1.23    0.00    9.88    0.00    0.00    0.00    0.00    0.00    0.00   88.89
11:21:38       2    1.06    0.00    1.06    0.00    0.00    0.00    0.00    1.06    0.00   96.81
11:21:38       3    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
11:21:38       4    0.00    0.00   26.04    0.00    0.00    0.00    0.00    0.00    0.00   73.96
11:21:38       5    0.00    0.00   25.25    0.00    0.00    0.00    0.00   49.49    0.00   25.25
11:21:38       6    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
11:21:38       7    0.00    0.00    2.04    0.00    0.00    0.00    0.00    1.02    0.00   96.94
11:21:38       8    0.00    0.00    0.00    0.00    0.00    2.97    0.00   97.03    0.00    0.00
11:21:38       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00    0.00   90.00
11:21:38      11    0.00    0.00    0.00    0.00    0.00   15.84    0.00   75.25    0.00    8.91
11:21:38      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00   18.37    0.00   81.63
11:21:38      13    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
11:21:38      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00   70.10    0.00   29.90
11:21:38      15    2.04    0.00    2.04    0.00    0.00    0.00    0.00   13.27    0.00   82.65
11:21:38      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.06    0.00   97.94
11:21:38      17    0.00    0.00    0.00    0.00    0.00    0.99    0.00   99.01    0.00    0.00
11:21:38      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      19    0.00    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   96.97
11:21:38      20    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00    0.00    0.00
11:21:38      21    0.00    0.00    0.00    0.00    0.00    5.32    0.00    0.00    0.00   94.68
11:21:38      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      23    1.00    0.00    0.00    0.00    0.00    0.00    0.00   72.00    0.00   27.00
11:21:38      24    0.99    0.00    0.00    0.00    0.00    0.99    0.00   71.29    0.00   26.73
11:21:38      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      26    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
11:21:38      27    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
11:21:38      28    1.00    0.00   59.00    0.00    0.00    1.00    0.00   10.00    0.00   29.00
11:21:38      29    0.00    0.00   30.61    0.00    0.00    0.00    0.00    0.00    0.00   69.39
11:21:38      30    0.99    0.00   15.84    0.99    0.00    0.00    0.00    0.00    0.00   82.18
11:21:38      31    0.00    0.00    1.00    1.00    0.00    0.00    0.00    1.00    0.00   97.00
11:21:38      32    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
11:21:38      33    0.00    0.00    7.00    0.00    0.00    0.00    0.00   93.00    0.00    0.00
11:21:38      34    0.00    0.00    6.00    1.00    0.00    2.00    0.00    0.00    0.00   91.00
11:21:38      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.05    0.00   94.95
11:21:38      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      39    0.00    0.00    5.94    0.00    0.00    0.00    0.00   93.07    0.00    0.99
11:21:38      40    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
11:21:38      41    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
11:21:38      42    0.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
11:21:38      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00    0.00    6.00
11:21:38      44    0.00    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   90.82
11:21:38      45    0.00    0.00   47.96    0.00    0.00    0.00    0.00    4.08    0.00   47.96
11:21:38      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      47    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38      48    0.00    0.00   13.40    0.00    0.00    0.00    0.00    4.12    0.00   82.47
11:21:38      49    0.00    0.00   61.70    0.00    0.00    0.00    0.00    8.51    0.00   29.79
11:21:38      50    0.00    0.00   47.47    0.00    0.00    0.00    0.00    8.08    0.00   44.44
11:21:38      51    1.04    0.00   39.58    0.00    0.00    0.00    0.00    1.04    0.00   58.33
11:21:38      52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      53    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38      54    0.00    0.00   55.79    0.00    0.00    0.00    0.00   11.58    0.00   32.63
11:21:38      55    1.00    0.00   30.00    0.00    0.00    0.00    0.00    1.00    0.00   68.00
11:21:38      56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      57    1.01    0.00    1.01    0.00    0.00    0.00    0.00   33.33    0.00   64.65
11:21:38      58    0.00    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   90.91
11:21:38      59    0.00    0.00    2.06    1.03    0.00    0.00    0.00    0.00    0.00   96.91
11:21:38      60    0.00    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   97.96
11:21:38      61    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:21:38      62    0.00    0.00    2.02    0.00    0.00    0.00    0.00    1.01    0.00   96.97
11:21:38      63    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
11:21:38      64    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
11:21:38      65    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
11:21:38      66    0.00    0.00    1.00    0.00    0.00    0.00    0.00    4.00    0.00   95.00
11:21:38      67    0.00    0.00    4.08    0.00    0.00    0.00    0.00    2.04    0.00   93.88
11:21:38      68    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:21:38      69    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:21:38      70    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
11:21:38      71    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38      72    0.00    0.00    1.00    0.00    0.00    1.00    0.00   36.00    0.00   62.00
11:21:38      73    0.00    0.00    2.04    0.00    0.00    0.00    0.00    4.08    0.00   93.88
11:21:38      74    0.00    0.00    4.04    0.00    0.00    0.00    0.00   12.12    0.00   83.84
11:21:38      75    1.01    0.00    5.05    0.00    0.00    1.01    0.00    1.01    0.00   91.92
11:21:38      76    0.00    0.00   26.00    0.00    0.00    0.00    0.00   74.00    0.00    0.00
11:21:38      77    0.00    0.00    1.00    0.00    0.00    1.00    0.00   18.00    0.00   80.00
11:21:38      78    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
11:21:38      79    0.00    0.00   30.61    0.00    0.00    0.00    0.00    1.02    0.00   68.37
11:21:38      80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00    0.00   99.00
11:21:38      81    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      82    0.00    0.00    2.04    0.00    0.00    0.00    0.00   58.16    0.00   39.80
11:21:38      83    1.02    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   91.84
11:21:38      84    0.00    0.00    1.02    0.00    0.00    0.00    0.00   90.82    0.00    8.16
11:21:38      85    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      86    1.01    0.00    0.00    0.00    0.00    1.01    0.00   75.76    0.00   22.22
11:21:38      87    1.01    0.00   18.18    0.00    0.00    0.00    0.00    0.00    0.00   80.81
11:21:38      88    0.00    0.00   14.00    0.00    0.00    1.00    0.00    0.00    0.00   85.00
11:21:38      89    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      92    1.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00    0.00   13.00
11:21:38      93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.18    0.00   90.82
11:21:38      94    0.00    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   88.78
11:21:38      95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      96    0.00    0.00    2.04    0.00    0.00    0.00    0.00    1.02    0.00   96.94
11:21:38      97    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
11:21:38      98    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:21:38      99    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:21:38     100    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01    0.00   98.99
11:21:38     101    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38     102    0.00    0.00    0.00    0.00    0.00    0.99    0.00   99.01    0.00    0.00
11:21:38     103    0.00    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   94.79
11:21:38     104    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:21:38     105    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
11:21:38     106    0.00    0.00    0.00    0.00    0.00    0.99    0.00   82.18    0.00   16.83
11:21:38     107    0.00    0.00    1.01    0.00    0.00    0.00    0.00   18.18    0.00   80.81
11:21:38     108    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01    0.00   98.99
11:21:38     109    1.01    0.00    0.00    0.00    0.00    0.00    0.00   33.33    0.00   65.66
11:21:38     110    0.00    0.00    8.00    0.00    0.00    1.00    0.00   91.00    0.00    0.00
